,id,sent_id,tokens
42,ESUN032-PART004,18,ผู้ สนับสนุน ก็ เป็น สิ่ง สำคัญ เช่นเดียวกัน เปรียบ ได้ ใน ยาม ที่ รถ สตาร์ท ไม่ ติด
43,ESUN032-PART004,19,จำเป็น ที่ จะ ต้อง มี คน ไป ช่วย เข็น เพื่อ ให้ รถ ไป ต่อ ได้
44,ESUN032-PART004,20,เพราะฉะนั้น
45,ESUN032-PART004,21,ปัจจัย เหล่านี้ ล้วน มี ส่วน ทำ ให้ ความ มุ่งหวัง สำเร็จ ทั้งนั้น
46,ESUN032-PART005,0,การ ท่องเที่ยว <sp> : <sp> แหล่ง รายได้ สำคัญ ของ ไทย
47,ESUN032-PART006,0,ใน ปี หนึ่ง <sp> ๆ
48,ESUN032-PART006,1,รายได้ ที่ ประเทศ ไทย ได้รับ มา จาก หลาย ภาค ส่วน ด้วยกัน
49,ESUN032-PART006,2,ไม่ว่า จะ เป็น
50,ESUN032-PART006,3,การ ส่งออก พืช ผล ทาง เกษตรกรรม
51,ESUN032-PART006,4,ผลิตภัณฑ์ หัตถกรรม
52,ESUN032-PART006,5,การลงทุน ของ ชาวต่างชาติ ใน ไทย
53,ESUN032-PART006,6,รวม ไป ถึง แหล่ง รายได้ สำคัญ ที่ เรียกว่า <sp> การ ท่องเที่ยว
54,ESUN032-PART007,0,เนื่องจาก ประเทศ ไทย มี ลักษณะ ภูมิ ประเทศ ที่ สวยงาม และ หลากหลาย มี ทั้ง <sp> แม่น้ำ <sp> ทะเล <sp> ภูเขา
55,ESUN032-PART007,1,อีกทั้ง ยัง ตั้ง อยู่ ใกล้ เส้นศูนย์สูตร
56,ESUN032-PART007,2,ทำ ให้ มี สภาพ อากาศ ที่ อบอุ่น ค่อน ไป ทาง ร้อน ซึ่ง เป็น อากาศ ที่ ชาว ยุโรป ส่วนใหญ่ พึง ปรารถนา เพราะ หา ไม่ ได้ ใน ประเทศ ตนเอง จึง ต้อง หัน มา พึ่ง ประเทศ ไทย ของ เรา
57,ESUN032-PART007,3,และ ส่วนใหญ่ ก็ ได้รับ ความ ประทับใจ กลับ ไป เป็น ของ ฝาก ไม่ น้อย
58,ESUN032-PART007,4,จึง ไป บอก เล่า ถึง ความ ประทับใจ แก่ ครอบครัว และ เพื่อนฝูง
59,ESUN032-PART007,5,นับ เป็น การ ขยาย ตลาด การ ท่องเที่ยว ของ ประเทศ ไทย อย่าง ดี ทีเดียว
60,ESUN032-PART007,6,อีก หนึ่ง ใน แรงดึงดูด ที่ ทำ ให้ ชาวต่างชาติ ติดใจ ประเทศ ไทย
61,ESUN032-PART007,7,น่า จะ เป็น <sp> รสชาติ อาหาร
62,ESUN032-PART007,8,ที่ มี ความ เป็น เอกลักษณ์
63,ESUN032-PART007,9,สังเกต ได้ จาก ใน ต่างประเทศ มี ร้าน อาหาร ไทย ผุด ขึ้น เป็น ดอกเห็ด
64,ESUN032-PART007,10,และ ล้วน ได้รับ ความ นิยม กัน ทั้งนั้น
65,ESUN032-PART007,11,นั่น อาจ จะ ทำ ให้ นักท่องเที่ยว ตัดสินใจ เดินทาง มา ลิ้ม ลอง รสชาติ ของ อาหาร ที่ เป็น รส ดั้งเดิม ก็ เป็นได้
66,ESUN032-PART008,0,การ ท่องเที่ยว แห่ง ประเทศ ไทย <sp> หรือ <sp> ททท .
67,ESUN032-PART008,1,เผย ว่า ใน ปี <sp> 2554 <sp> จะ มี นักท่องเที่ยว ต่างชาติ <sp> 16.4 - 16.5 <sp> ล้าน คน <sp> เดินทาง มา ยัง ประเทศ ไทย ทำให้ มี รายได้ กว่า <sp> 6.2 <sp> แสน ล้าน บาท
68,ESUN032-PART008,2,ซึ่ง นับ เป็น ตัวเลข ที่ สูง ทีเดียว
69,ESUN032-PART008,3,เนื่องจาก
70,ESUN032-PART008,4,เมื่อ หลาย ปี ก่อน ประเทศ ไทย ประสบ ภัยพิบัติ ทาง ธรรมชาติ
71,ESUN032-PART008,5,รวม ไป ถึง เหตุการณ์ วุ่นวาย ใน ประเทศ
72,ESUN032-PART008,6,ทำ ให้ นักท่องเที่ยว ตัดสินใจ เบน เข็ม ที่ จะ ไม่ เดินทาง มา เที่ยว ประเทศ ไทย
73,ESUN032-PART008,7,ประเทศ ไทย จึง สูญเสีย รายได้ ไป พอสมควร ใน ปี นั้น <sp> ๆ
74,ESUN032-PART008,8,การ ท่องเที่ยว แห่ง ประเทศ ไทย จึง เร่ง ฟื้นฟู ให้ สถาน ท่องเที่ยว กลับ มา สวยงาม ดังเดิม และ เร่ง ทำ การ ตลาด เพื่อ ประชาสัมพันธ์ อย่าง เต็มที่ เพื่อ หวัง ว่า นักท่องเที่ยว จะ กลับ มา ให้ ความ ไว้วางใจ ประเทศ ไทย เช่น เดิม
75,ESUN032-PART008,9,ซึ่ง ก็ มี แนวโน้ม อัตรา นักท่องเที่ยว เพิ่ม ขึ้น สูง ขึ้น เรื่อย ๆ <sp> เป็นต้นมา
76,ESUN032-PART009,0,รวม ไป ถึง หลาย <sp> ๆ <sp> ครั้ง ที่ นิตยสาร ท่องเที่ยว ทำการ จัด อันดับ เมือง ที่ น่า ท่องเที่ยว ที่สุด
77,ESUN032-PART009,1,เมือง ใน ประเทศ ไทย จะ เข้า ไป ร่วม แจม อยู่ ใน สิบ อันดับ แรก จน แทบ ไม่ ต้อง ลุ้น
78,ESUN032-PART009,2,ซึ่ง ที่ น่า ภูมิใจ ที่สุด
79,ESUN032-PART009,3,คือ
80,ESUN032-PART009,4,การ จัด อันดับ ของ
81,ESUN032-PART009,5,World 's
82,ESUN032-PART009,6,Best
83,ESUN032-PART009,7,Award <sp> 2011
84,ESUN032-PART009,8,โดย ผู้ อ่าน นิตยสาร <sp> TravelLeisure
85,ESUN032-PART009,9,กรุงเทพมหานคร
86,ESUN032-PART009,10,ได้ คว้า อันดับ หนึ่ง มา ให้ คน ไทย ทุก คน ได้ ร่วม ยินดี
87,ESUN032-PART009,11,นั่น แสดง ว่า
88,ESUN032-PART009,12,ชาวต่างชาติ จำนวน มาก ให้ ความสนใจ ประเทศ ไทย ไม่ น้อย เลยทีเดียว
89,ESUN032-PART010,0,สรุป ได้ ว่า การ ท่องเที่ยว นั้น เป็น แหล่ง รายได้ ที่ สำคัญ ของ ประเทศ
90,ESUN032-PART010,1,เรา ชาว ไทย ทุก คน จึง ควร ช่วย กัน อนุรักษ์ สถานที่ ท่องเที่ยว ต่างๆ <sp> ให้ สวยงาม และ คง อยู่
91,ESUN032-PART010,2,รวม ไป ถึง การ รณรงค์ เที่ยว ใน ประเทศ แทนที่ จะ ไป ต่างประเทศ
92,ESUN032-PART010,3,เงินทอง จะ ได้ กอง อยู่ ใน ประเทศ ของ เรา
93,ESUN032-PART010,4,ไม่ รั่ว ไหล ไป ที่ อื่น
94,ESUN032-PART010,5,เป็น การ ช่วย เพิ่ม รายได้ ให้ กับ ประเทศ อีก ด้วย
95,ESUN032-PART011,0,สวยงาม
96,ESUN032-PART012,0,ทุก <sp> ๆ
97,ESUN032-PART012,1,คน
98,ESUN032-PART012,2,ที่ ได้ เห็น ภาพเขียน ชิ้น นี้
99,ESUN032-PART012,3,ล้วน พูด เป็น เสียง เดียวกัน ว่า <sp> มัน สวยงาม สะดุดตา มาก
100,ESUN032-PART012,4,เป็น งาน เขียน ที่ แปลก ใหม่ ไม่ ซ้ำ ใคร และ ไม่ เคย พบ มา ก่อน
101,ESUN032-PART012,5,จิตรกร มี ความคิด สร้างสรรค์ เป็น เลิศ
102,ESUN032-PART012,6,สามารถ นำ ศิลปะ แบบ ตะวันออก และ ตะวันตก มา ผสมผสาน กัน ได้ อย่าง ลงตัว
103,ESUN032-PART012,7,ลาย เส้น และ สีสัน ล้วน ส่งเสริม กันและกัน อย่าง เห็น ได้ ชัด
104,ESUN032-PART012,8,เมื่อ มอง แล้ว ให้ ความรู้สึก เหมือน อยู่ ใน โลก แห่ง ความ ฝัน
105,ESUN032-PART012,9,คุณสมบัติ เหล่านี้ ทำ ให้ ภาพเขียน ภาพ นี้ ได้ เข้า ร่วม ชิง รางวัล <sp> แท่น ศิลป์ <sp> ของ กรม ศิลปะ อีก ด้วย
106,ESUN032-PART012,10,ใน บางที แค่ คำ ว่า <sp> สวยงาม
107,ESUN032-PART012,11,อาจ จะ จำกัดความ ของ ภาพเขียน ชิ้น นี้ ไม่ พอ เสียด้วยซ้ำ
108,ESUN032-PART013,0,ความ เหมือน ใน ความ ต่าง ของ ภาษา อังกฤษ และ เยอรมัน
109,ESUN032-PART014,0,ภาษา อังกฤษ
110,ESUN032-PART014,1,เป็น สิ่ง ที่ ฉัน ให้ ความสนใจ มา เป็น เวลา นาน แล้ว
111,ESUN032-PART014,2,ตั้งแต่ เรียน ชั้น ประถมศึกษา ปี ที่ <sp> 4
112,ESUN032-PART014,3,เห็น จะ ได้
113,ESUN032-PART014,4,ภาษา เยอรมัน ก็ เป็น อีก หนึ่ง ภาษา ที่ ฉัน เข้า ไป พัวพัน ด้วย
114,ESUN032-PART014,5,เมื่อ ครั้ง ที่ ฉัน ได้ เดินทาง ไป เป็น นักเรียน แลกเปลี่ยน ที่ ประเทศ เยอรมัน
115,ESUN032-PART014,6,ทำ ให้ ได้ ทราบ ว่า
116,ESUN032-PART014,7,สิ่ง ที่ เหมือน กัน ของ สอง ภาษา นี้
117,ESUN032-PART014,8,ก็ คือ
118,ESUN032-PART014,9,ตัวอักษร ที่ ใช้ นั้น เหมือน กัน
119,ESUN032-PART014,10,อาจ จะ ต่าง กัน เล็กน้อย ตรง ที่
120,ESUN032-PART014,11,ภาษา เยอรมัน
121,ESUN032-PART014,12,จะ เพิ่ม ตัว ที่ ภาษา อังกฤษ ไม่ มี มา อีก <sp> 4 <sp> ตัว
122,ESUN032-PART014,13,และ รวมไปถึง การ ออกเสียง ขาน เรียก ตัวอักษร ก็ แตกต่าง กัน
123,ESUN032-PART014,14,เรา จะ ท่อง ว่า <sp> เอ <sp> บี <sp> ซี <sp> ดี <sp> ไป เรื่อย <sp> ๆ ใน การ เรียน วิชา ภาษา อังกฤษ ตอน เด็ก <sp> ๆ
124,ESUN032-PART014,15,แต่ ภาษา เยอรมัน
125,ESUN032-PART014,16,จะ อ่าน ออกเสียง ว่า
126,ESUN032-PART014,17,อา <sp> เบ <sp> เซ <sp> เด
127,ESUN032-PART014,18,ทำให้ เวลา ประสม คำ นั้น
128,ESUN032-PART014,19,ถึงแม้ จะ ใช้ ตัวอักษร ที่ เหมือน กัน
129,ESUN032-PART014,20,แต่ เสียง ที่ ได้ ออก มา นั้น จะ ต่าง กัน ออก ไป
130,ESUN032-PART014,21,เช่น
131,ESUN032-PART014,22,คำ ว่า <sp> Name
132,ESUN032-PART014,23,จะ ออกเสียง ว่า <sp> เนม <sp> ใน ภาษา อังกฤษ <sp> แต่ จะ ออกเสียง ว่า <sp> นาเม่อะ <sp> ใน ภาษา เยอรมัน
133,ESUN032-PART014,24,แต่อย่างไรก็ตาม
134,ESUN032-PART014,25,Name <sp> ใน ทั้ง สอง ภาษา นั้น
135,ESUN032-PART014,26,ก็ แปล ความหมาย เหมือน กัน ว่า <sp> ชื่อ
136,ESUN032-PART014,27,สำหรับ ฉัน ทั้ง สอง ภาษา นั้น ต่าง ก็ มี เอกลักษณ์ เป็น ของ ตัวเอง
137,ESUN032-PART014,28,ซึ่ง รอ ให้ เรา ทุก คน ได้ ไป ค้นหา กัน
138,ESUN032-PART015,0,สื่อ ออนไลน์
139,ESUN032-PART015,1,:
140,ESUN032-PART015,2,ตัว เลือก ใหม่ ที่ กำลัง ได้ รับ ความ นิยม
141,ESUN032-PART016,0,หาก จะ อธิบาย ถึง คำ ว่า <sp> สื่อ <sp> ให้ เข้าใจ ได้ ง่าย <sp> ๆ
142,ESUN032-PART016,1,ก็คือ
143,ESUN032-PART016,2,ตัวกลาง ที่ จะ ทำ ให้ เรา ได้ รับทราบ ข่าวสาร <sp> หรือ <sp> สิ่ง ที่ เรา จะ ใช้ เป็น ตัวกลาง ใน การ สื่อสาร กับ ผู้ อื่น
144,ESUN032-PART016,3,สื่อ
145,ESUN032-PART016,4,มี หลาย ประเภท ด้วยกัน
146,ESUN032-PART016,5,มี ทั้ง <sp> วิทยุ <sp> โทรทัศน์ <sp> หนังสือพิมพ์
147,ESUN032-PART016,6,และ ที่ กำลัง ได้ รับ ความ นิยม อย่าง มาก ใน ปัจจุบัน
148,ESUN032-PART016,7,นั่น ก็ คือ <sp> สื่อ ออนไลน์
149,ESUN032-PART017,0,สื่อ ออนไลน์
150,ESUN032-PART017,1,คือ
151,ESUN032-PART017,2,สื่อ ที่ เรา ใช้ ระบบ อินเตอร์เน็ต เป็น ตัว ช่วย ใน การ สื่อสาร
152,ESUN032-PART017,3,การ ประยุกต์ ใช้ อินเทอร์เน็ต ใน ปัจจุบัน ทำ ได้ หลากหลาย <sp> อาทิ <sp> การ สนทนา กัน <sp> การ ส่ง จดหมาย อิเล็กทรอนิกส์ E-mail การ เลือก ชม และ ซื้อ สินค้า ออนไลน์ <sp> การ สืบ ค้น ข้อมูล <sp> การ ประชุม ทาง ไกล ผ่าน อินเตอร์เน็ท <sp> เป็นต้น
153,ESUN032-PART017,4,ยิ่งไปกว่านั้น
154,ESUN032-PART017,5,เริ่ม มี การ ใช้ อินเทอร์เน็ต ผ่าน โทรศัพท์มือถือ มาก ขึ้น
155,ESUN032-PART017,6,เนื่องจาก เทคโนโลยี ปัจจุบัน สนับสนุน ให้ การ เข้าถึง เครือข่าย ผ่าน โทรศัพท์มือถือ ทำ ได้ ง่าย ขึ้น มาก
156,ESUN032-PART017,7,ก็ ยิ่ง ทำ ให้ ระบบ ออนไลน์ เป็น สิ่ง ที่ ทุก คน ให้ ความสนใจ
157,ESUN032-PART018,0,บริษัท ห้างร้าน ต่างๆ
158,ESUN032-PART018,1,จึง ไม่ ลืม ที่ จะ โฆษณา ผลิตภัณฑ์ ของ ตน ผ่าน ทาง อินเตอร์เน็ต <sp> หรือ <sp> สื่อ ออนไลน์
159,ESUN032-PART018,2,สังเกต ได้ จาก <sp> ทันที ที่ เรา <sp> เข้า <sp> website
160,ESUN032-PART018,3,เรา ก็ จะ เจอ แบนเนอร์ โฆษณา อยู่ เป็น ประจำ
161,ESUN032-PART018,4,โรงเรียน ต่างๆ
162,ESUN032-PART018,5,รวม ถึง มหาวิทยาลัย
163,ESUN032-PART018,6,ก็ มี การ นำ สื่อ ออนไลน์ มา ใช้ ประโยชน์
164,ESUN032-PART018,7,ตัวอย่าง เช่น <sp> บทเรียน ออนไลน์ E-learning หรือ <sp> การ ลงทะเบียน เรียน ออนไลน์ ผ่าน ทาง อินเทอร์เน็ต แทนที่ จะ ใช้ เอกสาร เป็น แผ่น ๆ แบบ สมัยก่อน
165,ESUN032-PART018,8,นอกจากนี้
166,ESUN032-PART018,9,การ จอง ตั๋ว หนัง <sp> ตั๋ว เครื่องบิน <sp> หรือ ตั๋ว การ แสดง ต่างๆ
167,ESUN032-PART018,10,เพียงแค่ คลิก ผ่าน อินเตอร์เน็ท
168,ESUN032-PART018,11,ก็ สามารถ เป็น เจ้าของ บัตร ได้ อย่าง ไม่ ยากเย็น
169,ESUN032-PART018,12,ใน ยุค ที่ มี แต่ การ แข่งขัน และ เร่งรีบ
170,ESUN032-PART018,13,หลาย คน อาจ จะ ไม่ สะดวก ที่ จะ รับ ฟัง ข่าวสาร ผ่าน ทาง โทรทัศน์
171,ESUN032-PART018,14,เทคโนโลยี จึง ตอบสนอง ความต้องการ ได้ อย่าง ตรง จุด
172,ESUN032-PART018,15,โดย สามารถ เช็ค ข่าวสาร บ้านเมือง ผ่าน อินเตอร์เน็ท
173,ESUN032-PART018,16,รวม ไป ถึง <sp> แฟน ละคร ต่างๆ
174,ESUN032-PART018,17,ที่ พลาด ชม ละคร เรื่อง โปรด ไป
175,ESUN032-PART018,18,ก็ สามารถ มา ย้อน ดู ใน ภายหลัง ผ่าน สื่อ ออนไลน์ ได้ เช่นเดียวกัน
176,ESUN032-PART019,0,แนวโน้ม ล่าสุด ของ การ ใช้ อินเทอร์เน็ต คือ การ ใช้ อินเทอร์เน็ต เป็น แหล่ง พบปะ สังสรรค์ เพื่อ สร้าง เครือข่าย สังคม
177,ESUN032-PART019,1,ซึ่ง เว็บ ไซต์ ที่ กำลัง ได้รับ ความ นิยม อย่าง แพร่หลาย
178,ESUN032-PART019,2,ก็คือ
179,ESUN032-PART019,3,เฟซบุ๊ก <sp> และ <sp> ทวิตเตอร์
180,ESUN032-PART019,4,ซึ่ง ผู้ใช้งาน ก็ มี ตั้งแต่ เด็ก ถึง ผู้ใหญ่
181,ESUN032-PART019,5,นั่น แสดง ว่า ทุก คน ให้ ความสำคัญ กับ สิ่ง <sp> ๆ นี้
182,ESUN032-PART020,0,สรุป ได้ ว่า <sp> ปัจจุบัน <sp> อินเตอร์เน็ท <sp> คือ <sp> ศูนย์ รวม ใน ทุก <sp> ๆ เรื่อง
183,ESUN032-PART020,1,ที่ ทุก คน กำลัง ให้ ความสนใจ
184,ESUN032-PART020,2,ดังที่ ได้ กล่าว มา แล้ว ข้างต้น
185,ESUN032-PART020,3,จึง เป็น ที่ น่า ขบคิด ว่า
186,ESUN032-PART020,4,ยังคง เหลือ สิ่ง ใด อีก หรือไม่ ที่ เรา ไม่ สามารถ กระทำ ได้ ผ่าน อินเตอร์เน็ท หรือ สื่อ ออนไลน์
187,ESUN032-PART021,0,ความ เสียสละ ของ บุรุษ ที่ ถูก เรียกว่า <sp> ทหาร
188,ESUN032-PART022,0,
189,ESUN032-PART022,1,หลับตา เถอะ นะ
190,ESUN032-PART022,2,ขอ ให้ เธอ หลับ ฝัน ดี
191,ESUN032-PART022,3,คืน นี้ ไม่ ต้อง ห่วง
192,ESUN032-PART022,4,ตรงนี้ ฉัน จะ ดูแล ด้วย ชีวิต ของ ฉัน
193,ESUN032-PART022,5,คง เป็น เรื่อง ธรรมดา ที่ ผู้ เอ่ย ถ้อยคำ เหล่านี้ จะ เป็น <sp> พ่อแม่ <sp> พี่น้อง <sp> ญาติ สนิท <sp> หรือ <sp> มิตรสหาย
194,ESUN032-PART022,6,เพราะ มัน ล้วน แสดง ถึง ความ ห่วงใย และ หวัง ดี แก่ ผู้ ที่ ได้ รับ ฟัง
195,ESUN032-PART022,7,แต่ ใคร เลย จะ รู้ ว่า <sp> ทหาร <sp> ก็ ต้องการ ที่ จะ เอ่ย คำพูด เหล่านี้ ให้ แก่ ทุก คน ใน ชาติ เช่นเดียวกัน
196,ESUN032-PART022,8,ถึงแม้ว่า จะ ไม่ ได้ รู้จัก กัน เลย ก็ตาม เรา ทุก คน คง จะ รู้จัก ทหาร ใน นาม
197,ESUN032-PART022,9,รั้ว ของ ชาติ
198,ESUN032-PART022,10,ผู้ มี หน้าที่ รักษา ความ มั่นคง <sp> และ ทำนุบำรุง ประเทศ
199,ESUN032-PART022,11,ใน ยาม ที่ มี ข้าศึก มา รุกราน
200,ESUN032-PART022,12,แต่ ถ้า ไม่ มี ข้าศึก มา รุกราน
201,ESUN032-PART022,13,ก็ คง จะ ไม่ มี สิ่ง ใด ให้ ปฏิบัติ เท่าใด นัก
202,ESUN032-PART022,14,แต่ ใน ความเป็นจริง แล้ว
203,ESUN032-PART022,15,มัน มี อะไร ที่ มาก กว่า นั้น
204,ESUN032-PART022,16,ในขณะที่ พวกเรา ทุก คน
205,ESUN032-PART022,17,บ้าง ก็ นอน หลับ พักผ่อน
206,ESUN032-PART022,18,บ้าง ก็ เล่น การ พนัน ขันต่อ
207,ESUN032-PART022,19,บ้าง ก็ กิน เหล้า เมามาย
208,ESUN032-PART022,20,หรือ แม้กระทั่ง อ่าน หนังสือ เตรียม สอบ เข้า มหาวิทยาลัย
209,ESUN032-PART022,21,กลับ เป็น ช่วง เวลา เดียวกัน ที่
210,ESUN032-PART022,22,เหล่า ทหาร ผู้ กล้า แข็ง
211,ESUN032-PART022,23,ต้อง ถือ ปืน ต่อสู้ กับ เหล่า ข้าศึก ศัตรู ที่ มุ่ง ร้าย
212,ESUN032-PART022,24,พวกเขา พร้อม จะ พลี กาย และ เลือดเนื้อ เพื่อ ปกป้อง ทุก ชีวิต ใน ชาติ ให้ ได้ อยู่ อย่าง สงบ สุข
213,ESUN032-PART022,25,เหตุการณ์ <sp> 3 <sp> จังหวัด ชายแดน ภาคใต้ <sp> หรือ <sp> เหตุการณ์ ชายแดน ไทย <sp> กัมพูชา
214,ESUN032-PART022,26,คง จะ เป็น ตัวอย่าง ที่ แสดง ถึง ความ เสียสละ ได้ ชัดเจน
215,ESUN032-PART022,27,เปรี้ยง
216,ESUN032-PART022,28,เสียง ลูก ตะกั่ว ที่ โผล่ พ้น จาก ปลาย กระบอก ปืน กำลัง เดินทาง ไป ยัง เรือนร่าง ของ ผู้ ที่ ถูก กำหนด ให้ เป็น เป้าหมาย
217,ESUN032-PART022,29,จน บาง ครั้ง หลาย ชีวิต ก็ ถูก สังเวย ให้ กับ ความขัดแย้ง ที่ มนุษย์ ก่อ ขึ้น มา
218,ESUN032-PART022,30,โดยที่ เจ้าของ ความ เสียสละ นั้น มี ความ ปรารถนา เพียง
219,ESUN032-PART022,31,ให้ ทุก คน ใน ชาติ ได้ อยู่ อย่าง ปลอดภัย
220,ESUN032-PART022,32,ถึงแม้ว่า มัน จะ ต้อง แลก กับ ชีวิต
221,ESUN032-PART022,33,พวกเขา ก็ ไม่ เคย ที่ จะ รู้สึก เสียดาย
222,ESUN032-PART023,0,เคย ลอง คิด ดู หรือไม่ ว่า
223,ESUN032-PART023,1,ถ้าหาก ไม่ มี เหล่า ทหาร ที่ ยอม ใช้ ชีวิต ของ พวกเขา เป็น เดิมพัน ใน การ ปกป้อง ประเทศ รวมไปถึง ทุก คน ใน ชาติ
224,ESUN032-PART023,2,เรา อาจ จะ เป็น หนึ่ง ที่ นอน จม กอง เลือด อยู่ ตรง นั้น ก็เป็นได้
225,ESUN032-PART024,0,นับ เป็น เรื่อง ที่ น่า ยินดี ที่ ยัง มี ผู้ เห็น ความสำคัญ ของ ทหาร
226,ESUN032-PART024,1,โดย การ กำหนด ให้ วัน ที่ <sp> 3 <sp> กุมภาพันธ์ ของ ทุก ปี <sp> เป็น <sp> วัน ทหารผ่านศึก
227,ESUN032-PART024,2,เพื่อ รำลึก ถึง เหล่า ทหาร กล้า ผู้ เสียสละ ทั้งหลาย
228,ESUN032-PART024,3,รวมไปถึง มี การ จำหน่าย <sp> ดอก ป๊อปปี้ <sp> ซึ่ง เป็น สัญลักษณ์ ของ ทหารผ่านศึก
229,ESUN032-PART024,4,เพื่อ นำ รายได้ ไป มอบ ให้ กับ ครอบครัว ของ เหล่า ทหาร กล้า
230,ESUN032-PART024,5,แต่ เงิน ที่ ได้ มา มัน คุ้ม กัน หรือไม่ กับ การ พราก เอา ชีวิต ของ คน ที่ รัก จาก ไป
